id,condition,if_search_factor,start,end,duration,time_diff_exploration,chart,code,time_elapse_from_start,search_content
1,foresight,search,1.48986E+12,1.48986E+12,35,121349,Priceline Group ,97310,4840,
1,foresight,search,1.48986E+12,1.48986E+12,3468,121349,Walt Disney ,14398,4875,
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,Microsoft ,13829,8555,
1,foresight,search,1.48986E+12,1.48986E+12,14,121349,Microsoft ,13829,9349,
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Verizon Communications,14647,9402,
1,foresight,search,1.48986E+12,1.48986E+12,88,121349,Walt Disney ,14398,9410,
1,foresight,search,1.48986E+12,1.48986E+12,324,121349,Priceline Group ,97310,9498,
1,foresight,search,1.48986E+12,1.48986E+12,2708,121349,Walt Disney ,14398,9822,
1,foresight,search,1.48986E+12,1.48986E+12,544,121349,Verizon Communications,14647,12530,
1,foresight,search,1.48986E+12,1.48986E+12,32,121349,Mondelez International ,18664,13074,
1,foresight,search,1.48986E+12,1.48986E+12,617,121349,American Express,13004,13106,
1,foresight,search,1.48986E+12,1.48986E+12,180,121349,Accenture ,81049,13723,
1,foresight,search,1.48986E+12,1.48986E+12,187,121349,Caterpillar,13195,13903,
1,foresight,search,1.48986E+12,1.48986E+12,232,121349,Dominion Resources,13375,14090,
1,foresight,search,1.48986E+12,1.48986E+12,232,121349,Capital One Financial ,13181,14322,
1,foresight,search,1.48986E+12,1.48986E+12,64,121349,LyondellBasell Industries ,174261,14554,
1,foresight,search,1.48986E+12,1.48986E+12,209,121349,Marsh & McLennan Companies,13780,14618,
1,foresight,search,1.48986E+12,1.48986E+12,336,121349,BB&T ,13105,14827,
1,foresight,search,1.48986E+12,1.48986E+12,127,121349,VF,14369,15163,
1,foresight,search,1.48986E+12,1.48986E+12,200,121349,Cerner ,13215,15290,
1,foresight,search,1.48986E+12,1.48986E+12,967,121349,Welltower ,82957,15490,
1,foresight,search,1.48986E+12,1.48986E+12,193,121349,Crown Castle International,19048,16457,
1,foresight,search,1.48986E+12,1.48986E+12,88,121349,VF,14369,16650,
1,foresight,search,1.48986E+12,1.48986E+12,56,121349,BB&T ,13105,16738,
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,Cognizant Technology Solutions,19054,16794,
1,foresight,search,1.48986E+12,1.48986E+12,112,121349,LyondellBasell Industries ,174261,16810,
1,foresight,search,1.48986E+12,1.48986E+12,144,121349,Capital One Financial ,13181,16922,
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,Reynolds American,103643,17066,
1,foresight,search,1.48986E+12,1.48986E+12,264,121349,Costco Wholesale ,13318,17082,
1,foresight,search,1.48986E+12,1.48986E+12,1074,121349,Wal-Mart Stores,14397,17346,
1,foresight,search,1.48986E+12,1.48986E+12,49,121349,Coca-Cola,13264,18420,
1,foresight,search,1.48986E+12,1.48986E+12,576,121349,Alphabet ,103702,18866,
1,foresight,search,1.48986E+12,1.48986E+12,543,121349,Apple,13040,19442,
1,foresight,search,1.48986E+12,1.48986E+12,4587,121349,Walt Disney ,14398,20618,
1,foresight,search,1.48986E+12,1.48986E+12,1145,121349,Verizon Communications,14647,25205,
1,foresight,search,1.48986E+12,1.48986E+12,608,121349,Alphabet ,103702,26642,
1,foresight,search,1.48986E+12,1.48986E+12,2196,121349,Apple,13040,27250,
1,foresight,search,1.48986E+12,1.48986E+12,188,121349,Alphabet ,103702,29446,
1,foresight,search,1.48986E+12,1.48986E+12,608,121349,Microsoft ,13829,29634,
1,foresight,search,1.48986E+12,1.48986E+12,120,121349,Exxon Mobil ,13433,30242,
1,foresight,search,1.48986E+12,1.48986E+12,217,121349,Berkshire Hathaway,18957,30362,
1,foresight,search,1.48986E+12,1.48986E+12,199,121349,Amazon.com,18155,30579,
1,foresight,search,1.48986E+12,1.48986E+12,1000,121349,General Electric,13506,30778,
1,foresight,search,1.48986E+12,1.48986E+12,2184,121349,Amazon.com,18155,31778,
1,foresight,search,1.48986E+12,1.48986E+12,296,121349,General Electric,13506,33962,
1,foresight,search,1.48986E+12,1.48986E+12,504,121349,Facebook ,314438,34258,
1,foresight,search,1.48986E+12,1.48986E+12,815,121349,Johnson & Johnson,13680,34762,
1,foresight,search,1.48986E+12,1.48986E+12,2480,121349,Facebook ,314438,35577,
1,foresight,search,1.48986E+12,1.48986E+12,212,121349,General Electric,13506,38057,
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,Amazon.com,18155,39146,
1,foresight,search,1.48986E+12,1.48986E+12,24,121349,FMC Technologies,18629,41393,
1,foresight,search,1.48986E+12,1.48986E+12,17,121349,Citigroup ,13244,41417,
1,foresight,search,1.48986E+12,1.48986E+12,15,121349,Cummins,13329,41434,
1,foresight,search,1.48986E+12,1.48986E+12,9,121349,Lam Research ,14688,41449,
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Owens-Illinois ,13952,41458,
1,foresight,search,1.48986E+12,1.48986E+12,15,121349,Paypal Holdings ,317837,41466,
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Sigma-Aldrich ,14160,41481,
1,foresight,search,1.48986E+12,1.48986E+12,17,121349,Union Pacific ,14340,41489,
1,foresight,search,1.48986E+12,1.48986E+12,41,121349,Wynn Resorts,19091,41537,
1,foresight,search,1.48986E+12,1.48986E+12,23,121349,Garmin,82759,48501,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,10,121349,CME Group ,19050,48542,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,11,121349,Robert Half International,14097,48552,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,15,121349,Ross Stores,14104,48563,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,24,121349,Southern ,14182,48578,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,24,121349,Johnson Controls ,13681,48602,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,24,121349,U.S. Bancorp,14327,48626,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,64,121349,EQT ,18225,48834,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,241,121349,Harman International Industries ,13558,48898,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,6583,121349,Walt Disney ,14398,49139,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,71,121349,International Flavors & Fragrances ,13644,55722,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,81,121349,Interpublic Group of Companies ,13650,55793,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,56,121349,General Motors,174255,55874,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,96,121349,Texas Instruments ,14281,55930,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,80,121349,Frontier Communications,14636,56026,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,128,121349,Dr Pepper Snapple Group,169791,56106,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,64,121349,Xerox,14447,56234,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,112,121349,Wells Fargo,14417,56298,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,162,121349,Macy's,13443,56410,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,142,121349,Estee Lauder Companies ,18669,56572,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,360,121349,Estee Lauder Companies ,18669,57283,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,553,121349,Navient,315926,57865,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,552,121349,Tegna ,13496,58418,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,273,121349,Michael Kors Holdings ,314517,58970,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,18,121349,Xerox,14447,59290,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,15,121349,Medtronic ,13808,59308,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,Stanley Black & Decker,14209,59323,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,18,121349,Regions Financial,14081,59339,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,17,121349,Zions Bancorporation,14458,59386,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,22,121349,Fifth Third Bancorp,13447,59403,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,32,121349,UnitedHealth Group ,14346,59425,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,48,121349,Apache ,13036,59457,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,17,121349,CSX ,13326,59505,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,31,121349,Allergan ,14409,59522,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,72,121349,Henry Schein,18238,59553,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,Cognizant Technology Solutions,19054,59625,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,160,121349,Expeditors International of Washington,13431,59641,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,81,121349,Computer Sciences ,13287,59801,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,71,121349,Linear Technology ,13745,60188,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,488,121349,Delphi Automotive ,314412,60259,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,359,121349,Linear Technology ,13745,60747,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,305,121349,Qorvo ,317318,61106,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,255,121349,Precision Castparts ,14030,61411,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,122,121349,Cimarex Energy ,19205,61666,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,142,121349,Wynn Resorts,19091,61788,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,273,121349,Diamond Offshore Drilling ,18614,61930,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,144,121349,Equinix ,82480,62203,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,247,121349,Discovery Communications,97572,62347,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,1362,121349,Cabot Oil & Gas ,13172,62594,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,703,121349,Discovery Communications,97572,63956,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,247,121349,Equinix ,82480,64659,Walt Disney 
